sujeto,grupo,canal,condicion,var_baseline,var_senal,snr,metodo
co2a0000444,alcoholic,T8,S2 nomatch,34.41512840238604,33.922325136458944,0.9856806210290667,ponderado
co2a0000444,alcoholic,TP8,S1 obj,0.04257700595841905,3.675208949485091,86.31910268829897,ponderado
co2a0000444,alcoholic,TP8,S2 match,0.3610465079228146,22.547029106944567,62.44909897249228,ponderado
co2a0000444,alcoholic,TP8,S2 nomatch,1.5362033155017163,12.271181685427104,7.987993230843534,ponderado
co2a0000445,alcoholic,P8,S1 obj,0.003113389518520585,9.069091126306628,2912.931733198634,ponderado
co2a0000445,alcoholic,P8,S2 match,0.7743197609759941,7.183632510235346,9.277346223452584,ponderado
co2a0000445,alcoholic,P8,S2 nomatch,2.4668234317727493,6.167122091128284,2.5000257463487627,ponderado
co2a0000445,alcoholic,PO8,S1 obj,0.01625210763218205,26.119782062230215,1607.162754110022,ponderado
co2a0000445,alcoholic,PO8,S2 match,1.1254994822587903,21.694696523122452,19.275616617417608,ponderado
co2a0000445,alcoholic,PO8,S2 nomatch,5.163329505764638,12.712606340705998,2.462094725218081,ponderado
co2a0000445,alcoholic,T8,S1 obj,1.0537628001624662,7.3495481188470055,6.974575414613112,ponderado
co2a0000445,alcoholic,T8,S2 match,0.08605458209783198,2.9035325807877626,33.74059242408328,ponderado
co2a0000445,alcoholic,T8,S2 nomatch,0.5202382710415402,3.719718343383599,7.1500282667335435,ponderado
co2a0000445,alcoholic,TP8,S1 obj,0.7342392828497469,8.577383156491965,11.681999801483274,ponderado
co2a0000445,alcoholic,TP8,S2 match,0.5413018352809422,3.949080186027345,7.295523363555057,ponderado
co2a0000445,alcoholic,TP8,S2 nomatch,1.1643774758502212,4.226546086980566,3.629876199635662,ponderado
co2a0000447,alcoholic,P8,S1 obj,0.8927979076833952,15.801843252332818,17.699238670187924,ponderado
co2a0000447,alcoholic,P8,S2 match,0.29620086771336346,15.098450341085115,50.97368707135604,ponderado
co2a0000447,alcoholic,P8,S2 nomatch,2.2299456899174954,19.120881051532628,8.574594949996325,ponderado
co2a0000447,alcoholic,PO8,S1 obj,1.329038265051788,34.07221817941307,25.636747319751095,ponderado
co2a0000447,alcoholic,PO8,S2 match,0.5988030940504293,27.249425384802635,45.50648728362745,ponderado
co2a0000447,alcoholic,PO8,S2 nomatch,3.6354701999366164,35.95488734066058,9.890023948288022,ponderado
co2a0000447,alcoholic,T8,S1 obj,0.13782443225153707,3.1779465008367125,23.057932827445192,ponderado
co2a0000447,alcoholic,T8,S2 match,1.2315157208370462,16.024649607448715,13.012135644161292,ponderado
co2a0000447,alcoholic,T8,S2 nomatch,0.465798294757823,4.474158230025017,9.605355537746684,ponderado
co2a0000447,alcoholic,TP8,S1 obj,0.9892902635755307,3.8512558348858037,3.89294828493151,ponderado
co2a0000447,alcoholic,TP8,S2 match,1.4442401743573772,10.280069907542986,7.117978082916272,ponderado
co2a0000447,alcoholic,TP8,S2 nomatch,1.0877170732361239,5.76415513949288,5.299314758702501,ponderado
co2c0000337,control,P8,S1 obj,0.5565537978159348,14.739560987293704,26.483623048006613,ponderado
co2c0000337,control,P8,S2 match,0.0361421325422508,25.767201236245498,712.9408096249765,ponderado
co2c0000337,control,P8,S2 nomatch,10.538682300720891,26.045653356048447,2.4714335827607985,ponderado
co2c0000337,control,PO8,S1 obj,0.2813502920520771,17.41021314932457,61.88091372623132,ponderado
co2c0000337,control,PO8,S2 match,0.33899881726351155,44.57457338662759,131.48887582099957,ponderado
co2c0000337,control,PO8,S2 nomatch,2.8686949447027135,21.7031916867969,7.565527916055929,ponderado
co2c0000337,control,T8,S1 obj,2.8736141836481255,6.902781634514079,2.4021254049319953,ponderado
co2c0000337,control,T8,S2 match,0.18200649712899972,13.223463855763075,72.65380117936535,ponderado
co2c0000337,control,T8,S2 nomatch,14.696922684665589,17.896467826913813,1.217701706057592,ponderado
co2c0000337,control,TP8,S1 obj,1.6583333743896145,12.45405247408586,7.509981205479774,ponderado
co2c0000337,control,TP8,S2 match,0.09651797179408796,20.13773471890506,208.6423320401617,ponderado
